ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,Timestamp,OccupancyRatio,TrafficWeight,VehicleWeight,DemandRaw,NormalizedDemand,DemandPrice,CompetitivePrice,RerouteFlag
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,0.10571923743500866,1,3,2.5285961871750433,0.12840337968066864,11.027227037445348,12.527227037445348,
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,0.11091854419410745,1,3,2.554592720970537,0.1291607727971492,11.033286182377193,12.533286182377193,
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,0.1386481802426343,1,3,4.693240901213171,0.19146897984628214,11.531751838770257,13.031751838770257,
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,0.1854419410745234,1,3,4.927209705372617,0.19828551789460705,11.586284143156856,13.086284143156856,
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,0.25996533795493937,1,2,4.299826689774697,0.1800070973502099,11.44005677880168,12.94005677880168,
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,0.30675909878682844,1,3,7.533795493934142,0.2742268010403898,12.193814408323117,13.693814408323117,
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,0.37954939341421146,3,4,8.897746967071058,0.31396469321840254,12.51171754574722,14.01171754574722,
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,0.42807625649913345,2,3,9.140381282495667,0.3210336956388876,12.568269565111102,14.068269565111102,
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,0.4488734835355286,2,1,7.244367417677644,0.2657944910102398,12.126355928081917,13.626355928081917,
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,0.4610051993067591,3,2,11.305025996533796,0.38409929580450114,13.072794366436009,14.572794366436009,
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,0.4662045060658579,3,3,10.331022530329289,0.3557223003736966,12.845778402989573,14.345778402989573,
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,0.4558058925476603,3,3,10.2790294627383,0.35420751414073554,12.833660113125884,14.333660113125884,
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00,0.4124783362218371,3,3,6.062391681109185,0.23135835064759092,11.850866805180726,13.350866805180726,
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,2016-10-04 14:29:00,0.37261698440207974,2,4,5.863084922010398,0.22555167008790675,11.804413360703254,13.304413360703254,
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,2016-10-04 14:57:00,0.3327556325823224,2,2,3.663778162911612,0.1614762124336525,11.29180969946922,12.79180969946922,
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,2016-10-04 15:30:00,0.28596187175043325,1,3,5.429809358752166,0.21292845147989764,11.703427611839182,13.203427611839182,
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,2016-10-04 16:04:00,0.2807625649913345,1,2,2.4038128249566726,0.12476789272156202,10.998143141772497,12.498143141772497,
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,04-10-2016,16:31:00,2016-10-04 16:31:00,0.24783362218370883,2,3,2.239168110918544,0.11997106965051854,10.959768557204148,12.459768557204148,
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,05-10-2016,07:57:00,2016-10-05 07:57:00,0.09358752166377816,1,3,2.467937608318891,0.12663612907554736,11.01308903260438,12.51308903260438,
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,05-10-2016,08:30:00,2016-10-05 08:30:00,0.1022530329289428,2,3,-0.48873483535528583,0.04049528529449322,10.323962282355945,11.823962282355945,
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,05-10-2016,09:04:00,2016-10-05 09:04:00,0.12305025996533796,1,3,4.6152512998266895,0.1891968004968405,11.513574403974724,13.013574403974724,
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,average,2,0,05-10-2016,09:30:00,2016-10-05 09:30:00,0.1438474870017331,2,3,1.7192374350086652,0.10482320732090762,10.838585658567261,12.338585658567261,
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,05-10-2016,10:04:00,2016-10-05 10:04:00,0.1975736568457539,1,3,6.987868284228769,0.2583215455942984,12.066572364754386,13.566572364754386,
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,05-10-2016,10:30:00,2016-10-05 10:30:00,0.2218370883882149,3,4,4.109185441941074,0.17445288116268584,11.395623049301486,12.895623049301486,
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,average,4,0,05-10-2016,11:04:00,2016-10-05 11:04:00,0.2564991334488735,2,2,5.282495667244367,0.20863655715317453,11.669092457225396,13.169092457225396,
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,average,4,0,05-10-2016,11:30:00,2016-10-05 11:30:00,0.2807625649913345,2,3,6.403812824956672,0.2413054469107021,11.930443575285617,13.430443575285617,
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,05-10-2016,12:04:00,2016-10-05 12:04:00,0.30849220103986136,3,3,7.542461005199307,0.27447926541255,12.1958341233004,13.6958341233004,
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,05-10-2016,12:30:00,2016-10-05 12:30:00,0.317157712305026,3,3,9.58578856152513,0.334010364367921,12.672082914943367,14.172082914943367,
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,high,7,0,05-10-2016,12:57:00,2016-10-05 12:57:00,0.30329289428076256,3,3,9.516464471403813,0.33199064939063955,12.655925195125118,14.155925195125118,
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,high,6,0,05-10-2016,13:30:00,2016-10-05 13:30:00,0.31022530329289427,3,4,8.551126516464471,0.3038661183319952,12.43092894665596,13.93092894665596,
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,average,4,0,05-10-2016,13:57:00,2016-10-05 13:57:00,0.30155979202772965,2,3,6.507798960138649,0.2443350193766243,11.954680155012994,13.454680155012994,
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,high,5,0,05-10-2016,14:30:00,2016-10-05 14:30:00,0.2738301559792028,3,3,5.369150779896014,0.21116120087477636,11.689289606998212,13.189289606998212,
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,average,3,0,05-10-2016,14:57:00,2016-10-05 14:57:00,0.2512998266897747,2,3,4.256499133448873,0.17874477548940895,11.429958203915271,12.929958203915271,
